Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,Mfg Std Lead Time,Description,Comments,RoHS Status,Lead Free Status,REACH Status
490-1403-1-ND,MURATA ELECTRONICS (VA),GRM1885C1H100JA01D,,2,0,0,18 Weeks,CAP CER 10PF 50V 5% NP0 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jul-2011
3M15451-ND,3M,30306-6002HB,,1,0,0,6 Weeks,CONN HEADER 6POS DL STR GOLD,,RoHS Compliant,Lead free,Not Available
401-1427-1-ND,C&K COMPONENTS (VA),KMR221GLFS,,1,0,0,8 Weeks,SWITCH TACTILE SPST-NO 0.05A 32V,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2013
490-1524-1-ND,MURATA ELECTRONICS (VA),GRM188R71E104KA01D,,5,0,0,10 Weeks,CAP CER 0.1UF 25V 10% X7R 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jul-2011
609-4613-1-ND,FCI (VA),10118192-0001LF,,1,0,0,10 Weeks,CONN USB MICRO B RECPT SMT R/A,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dec-2012
644-1037-1-ND,NDK (VA),NX5032GA-16.000000MHZ-LN-CD-1,,1,0,0,8 Weeks,CRYSTAL 16.0000MHZ 8PF SMD,Alternate Packaging Exists,RoHS Compliant,Lead free by exemption,Unaffected Dec-2014
732-4971-1-ND,WURTH ELECTRONICS INC (VA),150060GS75000,,3,0,0,8 Weeks,WL-SMCW SMD CHIP LED WATERCLEAR,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2012
732-4978-1-ND,WURTH ELECTRONICS INC (VA),150060RS75000,,2,0,0,8 Weeks,WL-SMCW SMD CHIP LED WATERCLEAR,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2012
732-4981-1-ND,WURTH ELECTRONICS INC (VA),150060YS75000,,2,0,0,8 Weeks,WL-SMCW SMD CHIP LED WATERCLEAR,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2012
732-4982-1-ND,WURTH ELECTRONICS INC (VA),150080BS75000,,1,0,0,8 Weeks,WL-SMCW SMD CHIP LED WATERCLEAR,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2012
768-1007-1-ND,FTDI (VA),FT232RL-REEL,,1,0,0,8-12 Weeks,IC USB FS SERIAL UART 28-SSOP,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2011
952-2264-ND,HARWIN INC,M20-9990346,,1,0,0,6 Weeks,SIL VERTICAL PC TAIL PIN HEADER,,RoHS Compliant,Lead free,Unaffected Dec-2014
ATMEGA16M1-15AZCT-ND,ATMEL (VA),ATMEGA16M1-15AZ,,1,0,0,6 Weeks,IC MCU 8BIT 16KB FLASH 32TQFP,No delivery date available,RoHS Compliant,Lead free,Unaffected Dec-2013
ED2609-ND,ON SHORE TECHNOLOGY INC,OSTTC022162,,5,0,0,8 Weeks,TERM BLOCK 5.08MM VERT 2POS PCB,,RoHS Compliant,Lead free,Unaffected Dec-2014
ED2615-ND,ON SHORE TECHNOLOGY INC,OSTTC082162,,3,0,0,8 Weeks,TERM BLOCK 5.08MM VERT 8POS PCB,,RoHS Compliant,Lead free,Unaffected Dec-2014
MCP2551T-E/SNCT-ND,MICROCHIP TECHNOLOGY (VA),MCP2551T-E/SN,,1,0,0,12 Weeks,IC TRANSCEIVER CAN HI-SPD 8-SOIC,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dec-2014
NCP1117ST50T3GOSCT-ND,ON SEMICONDUCTOR (VA),NCP1117ST50T3G,,1,0,0,9 Weeks,IC REG LDO 5V 1A SOT223,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dec-2014
PCE5005CT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),EEE-FT1E470AR,,2,0,0,20 Weeks,CAP ALUM 47UF 25V 20% SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
RHM1.0KCGCT-ND,ROHM SEMICONDUCTOR (PASSIVE) (VA),MCR03ERTJ102,,10,0,0,6-8 Weeks,RES SMD 1K OHM 5% 1/10W 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2012
RHM10KCGCT-ND,ROHM SEMICONDUCTOR (PASSIVE) (VA),MCR03ERTJ103,,2,0,0,6-8 Weeks,RES SMD 10K OHM 5% 1/10W 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2012
RHM220CGCT-ND,ROHM SEMICONDUCTOR (PASSIVE) (VA),MCR03ERTJ221,,4,0,0,6-8 Weeks,RES SMD 220 OHM 5% 1/10W 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
SK310A-LTPMSCT-ND,MICRO COMMERCIAL CO (VA),SK310A-LTP,,3,0,0,8-12 Weeks,DIODE SCHOTTKY 100V 3A DO214AC,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dec-2014
VO14642AABCT-ND,VISHAY SEMICONDUCTOR OPTO DIVISION (VA),VO14642AABTR,,3,0,0,4 Weeks,RELAY SSR SPST-NO 2A 60V 6SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2014
